"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"17551","60070","2018",3,3,0,100,0,155333.333333333,1795,89.3333333333333
"17552","60073","2018",5,5,0,100,0,166080,1937.8,91
"17553","60074","2018",8,7,1,87.5,12.5,256875,2410.875,106.5
"17554","60076","2018",3,3,0,100,0,61333.3333333333,639,94
"17555","60077","2018",1,1,0,100,0,110000,786,140
"17556","60079","2018",9,9,0,100,0,209118.333333333,1848.88888888889,114.777777777778
"17557","60082","2018",9,9,0,100,0,98166.6666666667,1556.55555555556,70.1111111111111
"17558","60083","2018",5,5,0,100,0,211700,2102.4,104.4
"17559","60084","2018",1,1,0,100,0,192000,1215,158
"17560","60086","2018",11,10,1,90.9090909090909,9.09090909090909,252763.636363636,2393.81818181818,111.272727272727
"17561","60087","2018",1,1,0,100,0,489034,2982,164
"17562","60088","2018",34,30,4,88.2352941176471,11.7647058823529,218880,2408.67647058824,93.2058823529412
"17563","60089","2018",4,4,0,100,0,239750,1862.75,128.75
"17564","60090","2018",1,1,0,100,0,2e+05,2410,83
"17565","60091","2018",3,3,0,100,0,264333.333333333,2716.66666666667,97.3333333333333
"17566","60092","2018",1,1,0,100,0,217000,3239,67
"17567","60093","2018",3,3,0,100,0,128600,1018,132.666666666667
"17568","60094","2018",2,2,0,100,0,125000,1168.5,105.5
"17569","60095","2018",3,3,0,100,0,218650,2460,87.6666666666667
"17570","60097","2018",1,1,0,100,0,150000,3061,49
"17571","60100","2018",1,1,0,100,0,7e+05,4167,168
"17572","60101","2018",6,6,0,100,0,189833.333333333,2273.66666666667,84.3333333333333
"17573","60102","2018",20,20,0,100,0,189770,2070.25,93
"17574","60103","2018",27,26,1,96.2962962962963,3.7037037037037,155536.518518519,2091.59259259259,79.5925925925926
"17575","60104","2018",22,22,0,100,0,117886.363636364,1388.81818181818,86.1363636363636
"17576","60105","2018",5,5,0,100,0,136180,1585.4,97.4
"17577","60106","2018",13,13,0,100,0,219976.923076923,2287.07692307692,99.7692307692308
