,id,Polluant,polluant_url,valeur,code site,Zas,Date,Year,Month,Day,Quarter
296,,ATMO,,0,FR14008,ZR GRAND-EST,2018-10-04 23:00:00,2018,10,,4
297,,ATMO,,0,FR82006,ZAR BESANCON,2018-10-25 23:00:00,2018,10,,4
298,,ATMO,,0,FR22009,ZR GRAND-EST,2018-10-30 23:00:00,2018,10,,4
299,,ATMO,,0,FR40006,ZR GUYANE,2018-10-23 23:00:00,2018,10,,4
300,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-29 23:00:00,2018,10,,4
301,,ATMO,,0,FR23001,ZAG NANTES-SAINT-NAZAIRE,2018-10-31 23:00:00,2018,10,,4
302,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-31 06:00:00,2018,10,,4
303,,ATMO,,3,FR19002,ZAG RENNES,2018-10-30 23:00:00,2018,10,,4
304,,ATMO,,0,FR26005,ZAR DIJON,2018-10-12 23:00:00,2018,10,,4
305,,ATMO,,0,FR20013,ZAG LYON,2018-10-30 23:00:00,2018,10,,4
306,,ATMO,,0,FR41001,ZAR AJACCIO,2018-11-01 23:00:00,2018,11,,4
307,,ATMO,,0,FR40006,ZR GUYANE,2018-10-24 23:00:00,2018,10,,4
308,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-30 23:00:00,2018,10,,4
309,,ATMO,,0,FR33101,ZAR PAYS-DE-SAVOIE,2018-10-31 23:00:00,2018,10,,4
310,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-11-02 06:00:00,2018,11,,4
311,,ATMO,,0,FR34013,ZAG ORLEANS,2018-10-28 23:00:00,2018,10,,4
312,,ATMO,,0,FR06001,ZAG BLDV,2018-11-04 06:00:00,2018,11,,4
313,,ATMO,,0,FR08614,ZAR NIMES,1970-01-01 00:00:00,1970,1,,1
314,,ATMO,,1,FR14008,ZR GRAND-EST,2018-08-01 23:00:00,2018,8,,3
315,,ATMO,,0,FR16031,ZR GRAND-EST,2018-08-20 23:00:00,2018,8,,3
316,,ATMO,,2,FR19002,ZAG RENNES,2018-10-11 15:00:00,2018,10,,4
317,,ATMO,,0,FR20013,ZAG LYON,2018-10-25 23:00:00,2018,10,,4
318,,ATMO,,0,FR03006,ZAG MARSEILLE-AIX,2018-11-01 23:00:00,2018,11,,4
319,,ATMO,,0,FR20013,ZAG LYON,2018-11-03 23:00:00,2018,11,,4
320,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-21 23:00:00,2018,10,,4
321,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-30 23:00:00,2018,9,,3
322,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-10-14 23:00:00,2018,10,,4
323,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-10-14 23:00:00,2018,10,,4
324,,ATMO,,0,FR26005,ZAR DIJON,2018-09-13 23:00:00,2018,9,,3
325,,ATMO,,0,FR26005,ZAR DIJON,2018-10-01 23:00:00,2018,10,,4
326,,ATMO,,0,FR26005,ZAR DIJON,2018-10-17 23:00:00,2018,10,,4
327,,ATMO,,0,FR24007,ZAG NICE,2018-10-31 23:00:00,2018,10,,4
328,,ATMO,,0,FR01011,ZAG METZ,2018-11-05 23:00:00,2018,11,,4
329,,ATMO,,1,FR08016,ZAG MONTPELLIER,2018-07-31 23:00:00,2018,7,,3
330,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-09-25 23:00:00,2018,9,,3
331,,ATMO,,0,FR01059,ZAG METZ,2018-11-06 23:00:00,2018,11,,4
332,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-05 23:00:00,2018,11,,4
333,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-05 23:00:00,2018,11,,4
334,,ATMO,,2,FR16017,ZR GRAND-EST,2018-07-27 23:00:00,2018,7,,3
335,,ATMO,,1,FR27003,ZR AUVERGNE-RHONE-ALPES,2018-10-18 23:00:00,2018,10,,4
336,,ATMO,,0,FR26005,ZAR DIJON,2018-11-04 23:00:00,2018,11,,4
337,,ATMO,,2,FR08022,ZR OCCITANIE,2018-06-25 23:00:00,2018,6,,2
338,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-06 23:00:00,2018,11,,4
